2021-06-30 11:06:383 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 11:06:84 INFO  BuildYourOwnComputerPage :22 - Getting text from : [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 11:06:155 INFO  BuildYourOwnComputerPage :28 - Getting text from : [[ChromeDriver: chrome on WINDOWS (144323875b5932c5357cef1e1f01b83f)] -> id: product_attribute_2]
2021-06-30 11:06:779 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:109 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (9e63eb6c376b484ac7cf857cac8df936)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:527 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (9e63eb6c376b484ac7cf857cac8df936)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:558 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (9e63eb6c376b484ac7cf857cac8df936)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 11:06:552 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:826 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (15ebf620a757c1357ea8baa8be914c65)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:169 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (15ebf620a757c1357ea8baa8be914c65)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:206 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (15ebf620a757c1357ea8baa8be914c65)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 11:06:349 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (15ebf620a757c1357ea8baa8be914c65)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 11:06:976 INFO  BuildYourOwnComputerPage :22 - Getting text from : [[ChromeDriver: chrome on WINDOWS (15ebf620a757c1357ea8baa8be914c65)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 11:06:942 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:319 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (3c7f1c2cef8f7510834ba226427f1efb)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:142 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (3c7f1c2cef8f7510834ba226427f1efb)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 11:06:180 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3c7f1c2cef8f7510834ba226427f1efb)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 11:06:317 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 11:06:689 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (9d3a62af5fc409d682dfda1c2c0ad73f)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
